Review,Liked,Kitchen
Wow... Loved this place.,1,ANU'S KITCHEN
Crust is not good.,0,ANU'S KITCHEN
Not tasty and the texture was just nasty.,0,ANU'S KITCHEN
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,ANU'S KITCHEN
The selection on the menu was great and so were the prices.,1,ANU'S KITCHEN
Now I am getting angry and I want my damn pho.,0,ANU'S KITCHEN
Honeslty it didn't taste THAT fresh.),0,ANU'S KITCHEN
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,ANU'S KITCHEN
The fries were great too.,1,ANU'S KITCHEN
A great touch.,1,ANU'S KITCHEN
Service was very prompt.,1,ANU'S KITCHEN
Would not go back.,0,ANU'S KITCHEN
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,ANU'S KITCHEN
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,ANU'S KITCHEN
I was disgusted because I was pretty sure that was human hair.,0,ANU'S KITCHEN
I was shocked because no signs indicate cash only.,0,ANU'S KITCHEN
Highly recommended.,1,ANU'S KITCHEN
Waitress was a little slow in service.,0,ANU'S KITCHEN
"This place is not worth your time, let alone Vegas.",0,ANU'S KITCHEN
did not like at all.,0,ANU'S KITCHEN
The Burrittos Blah!,0,ANU'S KITCHEN
"The food, amazing.",1,ANU'S KITCHEN
Service is also cute.,1,ANU'S KITCHEN
I could care less... The interior is just beautiful.,1,ANU'S KITCHEN
So they performed.,1,ANU'S KITCHEN
That's right....the red velvet cake.....ohhh this stuff is so good.,1,ANU'S KITCHEN
#NAME?,0,ANU'S KITCHEN
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,ANU'S KITCHEN
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,ANU'S KITCHEN
The worst was the salmon sashimi.,0,ANU'S KITCHEN
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,ANU'S KITCHEN
This was like the final blow!,0,ANU'S KITCHEN
I found this place by accident and I could not be happier.,1,ANU'S KITCHEN
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,ANU'S KITCHEN
"Overall, I like this place a lot.",1,ANU'S KITCHEN
The only redeeming quality of the restaurant was that it was very inexpensive.,1,ANU'S KITCHEN
Ample portions and good prices.,1,ANU'S KITCHEN
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,ANU'S KITCHEN
My first visit to Hiro was a delight!,1,ANU'S KITCHEN
Service sucks.,0,ANU'S KITCHEN
The shrimp tender and moist.,1,ANU'S KITCHEN
There is not a deal good enough that would drag me into that establishment again.,0,ANU'S KITCHEN
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,ANU'S KITCHEN
"On a positive note, our server was very attentive and provided great service.",1,ANU'S KITCHEN
"Frozen pucks of disgust, with some of the worst people behind the register.",0,ANU'S KITCHEN
The only thing I did like was the prime rib and dessert section.,1,ANU'S KITCHEN
It's too bad the food is so damn generic.,0,ANU'S KITCHEN
"The burger is good beef, cooked just right.",1,ANU'S KITCHEN
If you want a sandwich just go to any Firehouse!!!!!,1,ANU'S KITCHEN
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,ANU'S KITCHEN
